Project__r:Project_Code__c,CP_Tier__c,Booking_Pct__c,Agreement_Pct__c,Registration_Pct__c,Effective_From__c,Notes__c
PRK,Platinum,0.5,1.0,0.5,2026-04-01,MVP default; review quarterly
PRK,Preferred,0.5,0.75,0.25,2026-04-01,MVP default; review quarterly
PRK,Standard,0.25,0.5,0.25,2026-04-01,MVP default; review quarterly
SPL,Platinum,0.5,1.0,0.5,2026-04-01,MVP default; review quarterly
SPL,Preferred,0.5,0.75,0.25,2026-04-01,MVP default; review quarterly
SPL,Standard,0.25,0.5,0.25,2026-04-01,MVP default; review quarterly
BEL,Platinum,0.5,1.0,0.5,2026-04-01,MVP default; review quarterly
BEL,Preferred,0.5,0.75,0.25,2026-04-01,MVP default; review quarterly
BEL,Standard,0.25,0.5,0.25,2026-04-01,MVP default; review quarterly
GRN,Platinum,0.5,1.0,0.5,2026-04-01,MVP default; review quarterly
GRN,Preferred,0.5,0.75,0.25,2026-04-01,MVP default; review quarterly
GRN,Standard,0.25,0.5,0.25,2026-04-01,MVP default; review quarterly
HRZ,Platinum,0.5,1.0,0.5,2026-04-01,MVP default; review quarterly
HRZ,Preferred,0.5,0.75,0.25,2026-04-01,MVP default; review quarterly
HRZ,Standard,0.25,0.5,0.25,2026-04-01,MVP default; review quarterly
ELY,Platinum,0.5,1.0,0.5,2026-04-01,MVP default; review quarterly
ELY,Preferred,0.5,0.75,0.25,2026-04-01,MVP default; review quarterly
ELY,Standard,0.25,0.5,0.25,2026-04-01,MVP default; review quarterly
AUR,Platinum,0.5,1.0,0.5,2026-04-01,MVP default; review quarterly
AUR,Preferred,0.5,0.75,0.25,2026-04-01,MVP default; review quarterly
AUR,Standard,0.25,0.5,0.25,2026-04-01,MVP default; review quarterly
SRN,Platinum,0.5,1.0,0.5,2026-04-01,MVP default; review quarterly
SRN,Preferred,0.5,0.75,0.25,2026-04-01,MVP default; review quarterly
SRN,Standard,0.25,0.5,0.25,2026-04-01,MVP default; review quarterly
CSM,Platinum,0.5,1.0,0.5,2026-04-01,MVP default; review quarterly
CSM,Preferred,0.5,0.75,0.25,2026-04-01,MVP default; review quarterly
CSM,Standard,0.25,0.5,0.25,2026-04-01,MVP default; review quarterly
MRD,Platinum,0.5,1.0,0.5,2026-04-01,MVP default; review quarterly
MRD,Preferred,0.5,0.75,0.25,2026-04-01,MVP default; review quarterly
MRD,Standard,0.25,0.5,0.25,2026-04-01,MVP default; review quarterly
GAL,Platinum,0.5,1.0,0.5,2026-04-01,MVP default; review quarterly
GAL,Preferred,0.5,0.75,0.25,2026-04-01,MVP default; review quarterly
GAL,Standard,0.25,0.5,0.25,2026-04-01,MVP default; review quarterly
NXS,Platinum,0.5,1.0,0.5,2026-04-01,MVP default; review quarterly
NXS,Preferred,0.5,0.75,0.25,2026-04-01,MVP default; review quarterly
NXS,Standard,0.25,0.5,0.25,2026-04-01,MVP default; review quarterly
