Tower__r:Tower_Code__c,Floor__c,Unit_Number__c,Unit_Type_Class__c,Configuration__c,Carpet_Area_sqft__c,BuiltUp_Area_sqft__c,Super_BuiltUp_Area_sqft__c,Facing__c,Corner_Unit__c,Park_Facing__c,BSP_Per_Sqft__c,Unit_Status__c
PRK-T01,1,1,Residential,3BHK,1800,2160,2400,South-East,true,false,46350,Available
PRK-T01,1,2,Residential,4BHK,2400,2880,3200,North-West,false,false,45000,Available
PRK-T01,1,3,Residential,3BHK,1800,2160,2400,South-West,false,false,45000,Available
PRK-T01,1,4,Residential,4BHK,2400,2880,3200,East,true,false,46350,Available
PRK-T01,2,1,Residential,3BHK,1800,2160,2400,North-West,true,false,47025,Available
PRK-T01,2,2,Residential,4BHK,2400,2880,3200,South-West,false,false,45675,Available
PRK-T01,2,3,Residential,3BHK,1800,2160,2400,East,false,true,46800,Available
PRK-T01,2,4,Residential,4BHK,2400,2880,3200,West,true,false,47025,Booked
PRK-T01,3,1,Residential,3BHK,1800,2160,2400,South-West,true,false,47700,Available
PRK-T01,3,2,Residential,4BHK,2400,2880,3200,East,false,true,47475,Booked
PRK-T01,3,3,Residential,3BHK,1800,2160,2400,West,false,false,46350,Available
PRK-T01,3,4,Residential,4BHK,2400,2880,3200,North,true,true,48825,Available
PRK-T01,4,1,Residential,3BHK,1800,2160,2400,East,true,true,49500,Available
PRK-T01,4,2,Residential,4BHK,2400,2880,3200,West,false,false,47025,Available
PRK-T01,4,3,Residential,3BHK,1800,2160,2400,North,false,true,48150,Available
PRK-T01,4,4,Residential,4BHK,2400,2880,3200,South,true,false,48375,Available
PRK-T02,1,1,Residential,3BHK,1800,2160,2400,East,true,false,46350,Blocked
PRK-T02,1,2,Residential,4BHK,2400,2880,3200,West,false,false,45000,Booked
PRK-T02,1,3,Residential,3BHK,1800,2160,2400,North,false,false,45000,Available
PRK-T02,1,4,Residential,4BHK,2400,2880,3200,South,true,false,46350,Booked
PRK-T02,2,1,Residential,3BHK,1800,2160,2400,West,true,false,47025,Available
PRK-T02,2,2,Residential,4BHK,2400,2880,3200,North,false,true,46800,Booked
PRK-T02,2,3,Residential,3BHK,1800,2160,2400,South,false,false,45675,Available
PRK-T02,2,4,Residential,4BHK,2400,2880,3200,North-East,true,true,48150,Available
PRK-T02,3,1,Residential,3BHK,1800,2160,2400,North,true,true,48825,Available
PRK-T02,3,2,Residential,4BHK,2400,2880,3200,South,false,false,46350,Booked
PRK-T02,3,3,Residential,3BHK,1800,2160,2400,North-East,false,true,47475,Available
PRK-T02,3,4,Residential,4BHK,2400,2880,3200,South-East,true,false,47700,Available
PRK-T02,4,1,Residential,3BHK,1800,2160,2400,South,true,false,48375,Available
